,rating,reviews,price,country,bathrooms,beds,guests,toiles,bedrooms,studios,checkin,checkout,amenities_list,amenities_count,region,bathroom_shared,bathroom_private,toilet_only,no_rating
689,5.0,11,5.679391021532042,South Africa,2.5,6,6,0,3,0,After 3 00 pm,10 00 am,"['Bay view', 'Garden view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'HDTV with Amazon Prime Video', 'Apple TV', 'Netflix', 'standard cable/satellite', 'Free washer – In unit']",13,Western Cape,0,0,0,0
690,4.92,25,4.23183397499412,South Africa,1.0,3,4,0,2,0,3 00 pm - 8 00 pm,10 00 am,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '55"" HDTV with Netflix', 'cable/satellite TV', 'Lift', 'Paid washer – In building', 'Paid dryer – In building', 'Security cameras on property']",11,Western Cape,0,0,0,0
691,4.67,3,4.79638779825236,Greece,1.0,1,2,0,1,0,After 3 00 pm,Unknown,"['Wifi', 'Dedicated workspace', 'TV with standard cable/satellite', 'Air conditioning', 'Luggage drop-off allowed', 'Cot', 'Travel cot', 'High chair', 'Hair dryer']",9,Athina,0,0,0,0
692,,1,6.614854794997391,United Kingdom,3.0,4,4,0,4,0,3 00 pm - 9 00 pm,10 00 am,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washing machine', 'Dryer', 'Bath', 'Luggage drop-off allowed', 'Hair dryer', 'Refrigerator']",10,England,0,0,0,1
693,4.84,76,4.122264403665953,South Korea,1.0,2,4,0,1,0,3 00 pm - 12 00 am,11 00 am,"['Kitchen', 'Wifi', '49"" TV with Netflix', 'standard cable/satellite', 'Lift', 'Washing machine', 'Air conditioning', 'Luggage drop-off allowed', 'Hair dryer', 'Refrigerator']",10,Seoul,0,0,0,0
694,4.96,160,5.005158476282579,South Korea,2.0,7,8,0,3,0,3 00 pm - 2 00 am,11 00 am,"['Kitchen', 'Wifi', 'Dedicated workspace', 'TV with standard cable/satellite', 'Washing machine', 'Air conditioning', 'Private patio or balcony', 'Garden', 'Luggage drop-off allowed', 'High chair']",10,Seoul,0,0,0,0
695,4.54,29,3.5730899120558792,India,1.0,1,4,0,1,0,After 2 00 pm,11 00 am,"['Garden view', 'Golf course view', 'Public or shared beach access', 'Wifi', 'Free parking on premises', 'Pets allowed', 'HDTV with Amazon Prime Video', 'Disney+', 'Netflix', 'Security cameras on property']",10,Goa,0,1,0,0
696,,1,2.908282684462695,India,1.0,1,3,0,1,0,After 2 00 pm,10 00 am,"['Beach access – Beachfront', 'Wifi', 'Free on-street parking', 'Pool', 'Air conditioning', 'Bath', 'Patio or balcony', 'Security cameras on property']",8,Goa,0,1,0,1
697,4.77,125,4.5416271531233505,India,2.0,4,14,0,1,0,1 00 pm - 10 00 pm,11 00 am,"['Garden view', 'Public or shared beach access', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'HDTV with Amazon Prime Video', 'Disney+', 'Netflix', 'standard cable/satellite', 'Security cameras on property']",11,Maharashtra,0,0,0,0
698,4.71,99,5.22399621133878,India,4.0,5,6,0,4,0,After 2 00 pm,11 00 am,"['Garden view', 'Sea view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'Security cameras on property']",8,MH,0,0,0,0
